LocalTimeStamp,PupilLeft,PupilRight,EEG.Cz,EEG.Fz,EEG.Pz
09:47:36.276,2.55,2.78,7.671928,1.076208,-2.517139
09:47:36.301,2.52,2.7,8.161756,9.267857,9.270409
09:47:36.326,2.59,2.74,8.651653,7.702643,7.705701
09:47:36.351,2.64,2.7,1.967262,12.313396,7.174912
09:47:36.376,2.55,2.75,-1.135034,8.680601,2.532388
09:47:36.401,2.59,2.73,-0.619221,0.962853,8.166884
09:47:36.426,2.65,2.76,8.086229,-3.13952,11.722413
09:47:36.451,2.6,2.66,8.062508,-2.61934,10.145744
09:47:36.476,2.76,2.67,8.03937,1.99928,10.115849
09:47:36.501,2.3,2.7,9.540091,9.680011,2.910816
09:47:36.526,2.47,2.71,3.359705,9.652538,-6.313298
09:47:36.576,2.54,2.74,4.357057,1.420875,5.497318
09:47:36.601,2.54,2.73,4.341191,-2.165832,1.379462
09:47:36.626,2.45,2.69,13.570738,-2.159341,1.375327
09:47:36.651,2.43,2.74,3.799809,-2.152356,1.371205
09:47:36.676,2.75,2.71,-4.429004,4.513584,1.879916
09:47:36.701,2.49,2.71,0.685306,6.029804,1.362487
09:47:37.151,2.68,2.79,-1.970228,3.313038,-5.152981
09:47:37.176,2.27,2.81,-4.019705,-3.359966,-5.136512
09:47:37.201,3.09,2.83,-4.010222,1.256774,-5.632913
09:47:37.251,2.89,2.68,-7.058516,1.248741,-5.5992
09:47:37.276,2.6,2.78,-12.655962,1.243753,-5.576837
09:47:37.301,2.56,2.77,-11.597003,1.240026,-5.560636
09:47:37.326,2.75,2.76,-1.83865,1.236309,-6.057304
09:47:37.376,2.65,2.71,-2.337098,-2.362059,-8.561228
09:47:37.401,2.38,2.76,6.902724,-2.35498,-6.997621
09:47:37.426,2.84,2.82,-3.358479,-2.347922,-11.084338
09:47:37.451,2.89,2.73,-14.627898,-2.341398,-19.239332
09:47:37.476,2.91,2.72,-11.51407,-4.896147,-20.698391
09:47:37.501,2.87,2.75,-4.308792,-13.588656,-8.850715
09:47:37.526,2.43,2.75,12.109246,-9.453056,-1.139059
09:47:37.551,2.57,2.77,-1.73629,-4.809341,-4.204879
09:47:37.576,2.63,2.73,-4.297749,-2.750309,-20.589716
09:47:37.601,2.61,2.89,-3.266209,-5.824447,-4.642332
09:47:37.626,2.6,2.84,-2.250258,10.076601,-1.55816
09:47:37.651,2.6,2.71,-5.314288,2.882805,-9.741701
09:47:37.676,2.58,2.73,-3.236316,-6.345325,-8.700703
09:47:37.701,2.71,2.69,2.416098,-5.80921,-8.665953
09:47:37.726,2.65,2.76,-1.680891,-5.280005,-1.462033
09:47:37.751,2.56,2.72,-10.389697,-5.263669,-4.52996
09:47:37.776,2.62,2.79,-3.706246,-8.818158,-3.997411
09:47:37.801,2.6,2.78,-2.671035,-10.840959,-5.014146
09:47:37.826,2.61,2.76,-1.637804,-5.173027,-8.576177
09:47:38.126,2.66,2.85,-0.460109,-1.364719,-0.622623
09:47:38.151,2.54,2.81,-1.992118,-1.871064,-1.645265
09:47:38.176,2.56,2.77,-11.722047,-1.865457,-4.711106
09:47:38.201,2.52,2.8,-8.1064,-2.372686,-4.696987
09:47:38.226,2.6,2.84,9.841492,2.245195,-4.68291
09:47:38.251,2.64,2.74,8.2966,2.238978,-4.668876
09:47:38.276,2.55,2.89,2.648062,-0.846375,-4.650228
09:47:38.301,2.61,2.78,-0.927575,-4.937176,-4.636292
09:47:38.326,2.68,2.76,-16.305304,-5.434175,-5.134704
09:47:38.351,2.65,2.78,-7.043097,-5.417889,-4.094187
09:47:38.376,2.6,2.8,3.227085,-5.39625,10.245271
09:47:38.401,2.6,2.86,7.321,-5.380077,-0.551587
09:47:38.426,2.63,2.85,2.195458,-5.363953,-0.548397
09:47:38.451,2.58,2.85,-13.68241,-5.347877,-4.64419
09:47:38.476,2.66,2.82,-10.58037,-5.33185,-14.882065
09:47:38.501,2.6,2.85,-12.079649,-2.234144,-8.686714
09:47:38.526,2.58,2.83,2.289381,2.380247,-3.536576
09:47:38.551,2.61,2.82,-0.25442,2.373626,-8.138798
09:47:38.601,2.66,2.85,-9.425102,-1.734745,-11.133827
09:47:38.626,2.66,2.86,-9.908137,-1.216213,8.89646
09:47:38.651,2.68,2.82,-1.704583,1.86538,12.464154
